Brand Code,Brand Name,Pack Size,Price Wise,Proposition
1,Blush,75 G,1,5
2,Dettol + Mug On 2,150 G,1,6
3,Cinthol,100 G,1,8
4,Cinthol New,75 G,1,8
5,Dettol,75 G,1,6
6,Emami Green Apple,75 G,1,5
7,Factor-F-Spice,120 G,1,15
8,Pears Oil Clear,75 G,1,15
9,Goldmist,100 G,1,15
10,Himani Glycerine,75 G,1,13
11,Johnson's Baby,75 G,1,12
12,Kerala Sandal,75 G,1,5
13,Liril,75 G,1,8
14,Margo,100 G,1,7
15,Medimix,75 G,1,7
16,Moti (N/S),150 G,1,5
17,Moti (N/S),100 G,1,5
18,Mysore Sandal,150 G,1,5
19,Mysore Sandal,75 G,1,5
20,Mysore S.Wood-Sp-Qlty,100 G,1,5
21,Naturelle,80 G,1,15
22,Neko,75 G,1,6
23,Nimin,100 G,1,15
24,Pears,75 G,1,13
25,Piyu,85 G,1,15
26,Pond's Dream Flower,75 G,1,5
27,Raindrop,100 G,1,15
28,Shampoochi,75 G,1,15
29,Swastik Shikakai,100 G,1,9
30,Supreme,75 G,1,15
31,Tetmosol,75 G,1,15
32,Tiara Herbal,75 G,1,7
33,Turkish-Godrej,85 G,1,15
34,Pond's Cold Cream Soap,75 G,1,5
35,Liril Fresh,125 G,1,8
36,Pond's Sandal,75 G,1,10
37,Godrej Crowning Glory,75 G,1,9
38,Other Premium Soaps,,1,15
39,Pond's Dream Flower,150 G,1,5
40,Pond's Dream Flower,25 G,1,5
41,Mysore Sandal,20 G,1,5
42,Arita,100 G,2,15
43,Afgan Carbolic,100 G,3,14
44,Chandrika,75 G,2,7
45,Chandrika,50 G,2,7
46,Farista Carbolic,100 G,3,14
47,Genteel,75 G,2,15
48,Genteel,20 G,2,15
49,Hamam,100 G,2,7
50,Hamam,25 G,2,7
51,Jai,100 G,4,5
52,Jai,25 G,4,5
53,Mysore Jasmine,100 G,1,5
54,Kanti,150 G,3,5
55,Lifebuoy,150 G,3,14
56,Lifebuoy Personnel,100 G,3,5
57,Lux Beauty,100 G,2,5
58,Lux Beauty,25 G,2,5
